sCode,noPeriode,sDescription
CH-TA,125,LUN À VEN 14 h - 21 h SAM 9 h - 18h DIM 13 h - 18 h
CH-TA,297,LUN À VEN 14 h - 21 h SAM 9 h - 18h DIM 13 h - 18 h
CH-TC,108,LUN À VEN 9 h  - 21 h
CH-TD,28,LUN À VEN 19 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-TD,121,LUN À VEN 19 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-TD,125,LUN À VEN 19 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-TE,111,LUN À VEN 9 h 30 - 21 h
CH-TM,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TM,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TM,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TM,125,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TN,28,SAM 9 h 18 h DIM 13 h - 18 h
CH-TN,125,SAM 9 h 18 h DIM 13 h - 18 h
CH-TP,28,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,110,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,125,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,253,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TP,254,LUN À VEN 9 h - 11 h  14 h -15 h 30 18 h 30- 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-TQ,110,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TQ,125,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TQ,256,LUN À VEN 18 h 30- 21 h SAM 15 h 30 - 18 h DIM 13 h - 18 h
CH-TT,1372,24 HEURES - 7 JOURS SUR 7
CH-TX,259,LUN À VEN. 9h - 18h
CH-TY,283,9h - MINUIT - TOUS LES JOURS
CH-UB,28,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,125,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1402,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1403,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UB,1404,LUN JEU VEN 9 h - 21 h MAR 14 h - 21 h MER 11 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UC,28,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UC,114,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UC,125,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UC,1434,LUN À VEN 9 h - 12 h 17 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-UD,114,LUN À VEN 17 h - 21h
CH-UF,28,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UF,125,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UF,317,LUN À VEN 13 h 30 - 21h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UH,28,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UH,125,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UH,192,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UH,1444,LUN À VEN 10h - 14h30 19h30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-UO,28,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UO,125,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UO,286,LUN À VEN  13h - 21h et SAM 9h - 18h DIM 13h - 18h
CH-UQ,28,LUN À VEN 19 h 30 - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UQ,125,LUN À VEN 19 h 30 - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-UQ,192,LUN À VEN 19 h 30 - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-VA,108,LUN à VEN 9h - 21h et SAM et DIM 9h-18h
CH-VA,332,LUN à VEN 9h - 21h et SAM et DIM 9h-18h
CH-VB,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-VB,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-VB,125,LUN À VEN 9 h - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-WA,121,LUN À VEN 9 h - 14 h et 19h-21h SAM 9h - 14h DIM 13 h - 14 h
CH-WA,305,LUN À VEN 9 h - 14 h et 19h-21h SAM 9h - 14h DIM 13 h - 14 h
CH-WA,1469,LUN À VEN 9 h - 14 h et 19h-21h SAM 9h - 14h DIM 13 h - 14 h
CH-ZA,1371,6 h - 17 h LUN à VEN
CH-ZX,28,LUN JEU 9h - 21h et SAM 9h - 18h
CH-ZX,210,LUN JEU 9h - 21h et SAM 9h - 18h
CH-ZX,328,LUN JEU 9h - 21h et SAM 9h - 18h
CH-ZY,28,SAM et DIM 9h - 18h
CH-ZY,1412,SAM et DIM 9h - 18h
CI-AV,45,STAT. INT. EXCEPTÉ LIVR. 8 h - 11 h LUN À VEN
CI-DA,47,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
CI-DA,100,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
CI-DB,37,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
CI-DB,62,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
CI-DE,37,P 15 min DÉB. 7 h - 9 h 30 LUN À VEN
CI-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN
CI-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN
CI-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN
CI-QY,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
CI-QY,47,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
CI-RG,48,ARRET INT. 16 h - 18 h 30 LUN À VEN
CI-SD,40,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
CI-SD,175,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
CI-SE,181,P 15 min Déb. 7 h - 18 h LUN À VEN
CI-SF,182,STAT. INT. 8 h - 18 h LUN À SAM
CI-SH,47,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
CI-SH,100,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
CI-SL,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
CP-AA,28,LUN À VEN 9 h - 21 h SAM 9 h - 18 h
CP-AA,108,LUN À VEN 9 h - 21 h SAM 9 h - 18 h
CR-AY,60,ARRET INT. 6 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
CR-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN. AVEC REMORQUAGE
CR-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-QP,57,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-QP,58,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CR-RN,80,ARRET INT. 15 h - 18 h 30 LUN À VEN AVEC  REMORQUAGE
CR-SK,186,ARRET INT. 14 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
CU-AA,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AA,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AA,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
CU-AC,34,LUN À SAM 9 h - 18 h
GR-AA,1480,Stationnement gratuit 8h-10h  LUN-VEN (test GTR)
GR-AC,255,Stationnement gratuit 11h-14h  LUN-VEN (test GTR)
GR-AD,1481,Stationnement gratuit 12h-14h  LUN-VEN (test GTR)
GR-AE,1482,Stationnement gratuit 13h-14h LUN-VEN (test GTR)
GR-AF,175,Stationnement gratuit 15h-18h LUN-VEN (test GTR)
GR-AG,47,Stationnement gratuit 16h-18h LUN-VEN (test GTR)
GR-AJ,1372,Stationnement gratuit 00h-00h - 24h  LUN à DIM (test GTR)
IN-AA,1473,Stationnement interdit 8h-9h LUN - VEN (test GTR)
IN-AB,1474,Stationnement interdit 8h-9h30 LUN-VEN (test GTR)
IN-AC,1434,Stationnement interdit 9h-12h LUN-VEN (test GTR)
IN-AD,1475,Stationnement interdit 9h-10h LUN-VEN (test GTR)
IN-AE,1476,Stationnement interdit 10h-11h LUN-VEN (test GTR)
IN-AF,1477,Stationnement interdit 10h-12h LUN-VEN (test GTR)
IN-AG,66,Stationnement interdit 12h-15h LUN-VEN (test GTR)
IN-AH,1483,Stationnement interdit 11h-12h LUN-VEN (test GTR)
IN-AI,1484,Stationnement interdit 14h-15h LUN-VEN (test GTR)
IN-AJ,1485,Stationnement interdit 16h-17h LUN-VEN (test GTR)
IN-AK,1486,Stationnement interdit 18h-19h LUN-VEN (test GTR)
IN-AL,255,Stationnement interdit 11h-14h LUN-VEN (test GTR)
IN-AM,1479,Stationnement interdit 13h-15h LUN-VEN (test GTR)
IN-AN,175,Stationnement interdit 15h-18h LUN-VEN (test GTR)
IN-RA,1475,Arrêt interdit - remorquage 9h-10h LUN-VEN (test GTR)
IN-RB,1478,Arrêt interdit - remorquage 10h-13h LUN-VEN (test GTR)
IN-RC,1479,Arrêt interdit - remorquage 13h-15h LUN-VEN (test GTR)
IN-RD,1487,Arrêt interdit - remorquage 15h-15h30 LUN-VEN (test GTR)
IN-RE,1489,Arrêt interdit - remorquage 11h-13h LUN-VEN (test GTR)
IN-RF,330,Arrêt interdit - remorquage 12h-13h LUN-VEN (test GTR)
MM-08,259,9 h - 18 h  LUN - VEN (8 $ MAX) (Test GTR)
MM-10,259,9 h - 18 h  LUN - VEN (10$ MAX)
MN-08,283,9 h - MINUIT TOUS LES JOURS (8 $ MAX)
MQ-12,1371,6 h - 17 h LUN à VEN (12 $ MAX)
MT-10,1372,24h /24 7j /7 -  (10 $ / 24h)
MT-11,1372,24h /24 7j /7 -  (11 $ / 24h)
MT-12,1372,24h /24 7j /7 -  (12 $ / 24h)
MT-13,1372,24h /24 7j /7 -  (13 $ / 24h)
MT-14,1372,24h /24 7j /7 -  (14 $ / 24h)
MT-15,1372,24h /24 7j /7 -  (15 $ / 24h)
MT-16,1372,24h /24 7j /7 -  (16 $ / 24h)
MT-17,1372,24h /24 7j /7  (17$ / 24h)
MT-18,1372,24h /24 7j /7  (18$ / 24h)
MU-12,259,9 h - 18 h LUN - VEN (12 25$ MAX)
MU-18,1394,VEN 17h-00h SAM et DIM 24h (max 18$)
MU-18,1416,VEN 17h-00h SAM et DIM 24h (max 18$)
MV-10,28,9h-21h LUN à VEN 9h-18h SAM et 13h-18h DIM (Max 10$)
MV-10,108,9h-21h LUN à VEN 9h-18h SAM et 13h-18h DIM (Max 10$)
MV-10,125,9h-21h LUN à VEN 9h-18h SAM et 13h-18h DIM (Max 10$)
MV-12,108,9 h - 21 h LUN - VEN  et 9h-18h SAM-DIM (1225 $ MAX)
MV-12,332,9 h - 21 h LUN - VEN  et 9h-18h SAM-DIM (1225 $ MAX)
MV-14,125,9 h - 21 h LUN - SAM  et 13h-18h DIM (1400 $ MAX)
MV-14,158,9 h - 21 h LUN - SAM  et 13h-18h DIM (1400 $ MAX)
MV-18,1445,17 h - 6 h LUN - VEN(18$ MAX)
MV-18,1447,17 h - 6 h LUN - VEN(18$ MAX)
MX-01,109,MAX 3 h18 h - 21 h LUN À VEN
MX-02,28,MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM
MX-02,125,MAX 3 h 9h - 18 h SAM et 13 h - 18 h DIM
MX-03,142,MAX 4 h 9h - 21 h
MX-04,28,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-04,108,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-04,125,MAX 8 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,28,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,108,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-05,125,MAX 11 h 9 h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-06,28,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM
MX-06,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM
MX-07,28,MAX 3 h 9h - 18 h SAM
MX-10,125,MAX 3 h13 h - 18 h DIM
MX-11,34,MAX 3 h 9 h - 18 h LUN à SAM
MX-12,108,MAX 3 h 9 h - 21 h LUN à VEN
MX-14,28,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-14,125,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM13h - 18h DIM 
MX-16,28,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,108,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-16,125,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM 13h - 18h DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM 13 h - 18 h DIM
MX-17,35,MAX 3 h18 h - 21 h JEU ET VEN
MX-21,25,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,26,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-21,28,MAX 3 h 9 h - 18 h LUN ET MAR ET MER ET SAM 9h - 21h JEU ET VEN
MX-24,1372,24 HEURES - 7 JOURS SUR 7
MX-25,108,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-25,332,MAX 3 h 9 h - 21 h LUN à VEN 9h - 18 h SAM et DIM
MX-32,332,MAX 3 h 9h - 18 h SAM et DIM
MX-44,108,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM
MX-44,332,MAX 4 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM
MX-46,108,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM et DIM
MX-46,332,MAX 12 h 9 h - 21 h LUN à VEN 9h - 18h SAM et DIM  h 9 h - 21 h LUN à VEN 9 h - 18 h SAM et DIM
MX-50,1495,MAX 5 h18 h - 23 h LUN À SAM
MX-61,1471,MAX 1h 9h - 20h LUN-VEN (TEST GTR)
MX-65,1391,MAX 3h 12h - 18h LUN-VEN (TEST GTR)
MX-66,28,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-66,108,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
MX-66,125,MAX 10 h 9h - 21 h LUN à VEN 9 h - 18 h  SAM et 13 h - 18 h DIM
PA-TD,319,\P  Réservé aux handicapés
PA-VL,1437,Interdit d attacher vélo après un parcomètre
PC-GR,1437,Tarifé EXCEPTÉ pour les détenteurs d'une vignette SRRR du secteur
PC-PI,1437,Excepté périodes interdites
PC-TD,319,Réservée aux personnes handicapées
PC-VE,319,Réservée véhicule électrique en recharge (collant blanc officiel)
PC-VS,319,Stationnement réservé - véhicule électrique seulement
R747,116,Pour paiement des billets pour les autobus STM # 747
SH-AA,28,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AA,108,LUN À VEN 9 h - 21 h SAM 9 h 18 h
SH-AC,34,LUN À SAM 9 h - 18 h
SH-AJ,27,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-AJ,28,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-AJ,109,LUN À VEN 9 h 30 - 15 h 30 18 h - 21 h SAM 9 h 18 h
SH-DH,28,LUN À VEN 16h - 21h SAM 9h - 18h
SH-DH,104,LUN À VEN 16h - 21h SAM 9h - 18h
SH-DI,28,LUN À VEN 10 h  - 15 h 18 h - 21 h SAM 9 h 18 h
SH-DI,109,LUN À VEN 10 h  - 15 h 18 h - 21 h SAM 9 h 18 h
SH-DI,1366,LUN À VEN 10 h  - 15 h 18 h - 21 h SAM 9 h 18 h
SH-PD,28,LUN À VEN 18 h - 21 h  SAM 9 h  - 18 h
SH-PD,109,LUN À VEN 18 h - 21 h  SAM 9 h  - 18 h
SH-QE,28,LUN À VEN 12 h - 21 h SAM 9 h 18 h
SH-QE,115,LUN À VEN 12 h - 21 h SAM 9 h 18 h
SH-QT,28,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h
SH-QT,31,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h
SH-QT,110,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h
SH-SD,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SD,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SD,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SR,28,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-SR,121,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-SR,1366,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-TZ,28,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-TZ,104,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-TZ,196,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-UA,28,LUN À VEN 17 h - 21 h SAM 9 h - 18 h
SH-UA,114,LUN À VEN 17 h - 21 h SAM 9 h - 18 h
SH-UB,121,LUN À VEN 19 h - 21 h
SH-UC,28,LUN À VEN 12 h - 18 h SAM 9 h 18 h
SH-UC,1391,LUN À VEN 12 h - 18 h SAM 9 h 18 h
SH-UD,114,LUN À VEN 17h à 21h
SH-UE,1494,LUN à VEN 20 h - 21 h
SH-UF,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h - 18 h
SH-UF,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h - 18 h
SH-UF,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h - 18 h
SH-UW,28,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,200,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,1369,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,1455,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,1456,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SI-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN
SI-AB,38,ARRET INT.  8 h - 9 h 30 LUN À VEN
SI-AC,232,STAT. INT. EXCEPTÉ LIVR. 6h 7 h 8 h ou 9 h - 12 h LUN À VEN\P  EXCEPTÉ LIVRAISON 8 h - 12 h LUN À VEN
SI-AE,40,ARRET INT. 7 h 30 - 9 h 30 LUN À VEN
SI-AF,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 24 h
